"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-01","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","15.6",",,7","1.7",",,7","7.2",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-02","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","17.8",",,7","2.2",",,7","2.2",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-03","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","10.6",",,7","-0.6",",,7","-0.6",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-04","10.7",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","13.3",",,7","-0.6",",,7","4.4",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-05","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","10.6",",,7","-1.1",",,7","-0.6",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-06","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","15.0",",,7","-1.7",",,7","15.0",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-07","3.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","18.9",",,7","7.8",",,7","18.9",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-08","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","18.9",",,7","3.9",",,7","3.9",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-09","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","16.7",",,7","3.9",",,7","16.7",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-10","24.1",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","20.0",",,7","7.2",",,7","7.2",",,7,0700",,,"    1",",,7","    1",",,7"
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-11","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","12.8",",,7","3.9",",,7","3.9",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-12","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","15.6",",,7","0.6",",,7","1.7",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-13","9.4",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","21.1",",,7","1.7",",,7","13.9",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-14","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","15.6",",,7","4.4",",,7","4.4",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-15","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","17.2",",,7","3.3",",,7","6.1",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-16","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","16.7",",,7","5.6",",,7","13.3",",,7,0700","    1",",,7",,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-17","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","16.7",",,7","-2.8",",,7","-2.8",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-18","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","5.0",",,7","-4.4",",,7","-4.4",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-19","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","16.1",",,7","-4.4",",,7","8.9",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-20","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","16.1",",,7","-2.8",",,7","-2.2",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-21","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","3.9",",,7","-6.7",",,7","-6.7",",,7,0700",,,,,,
"USC00319461","WILMINGTON 7 SE, NC US","34.1425","-77.8788","9.1","2024-01-22","0.0",",,7,0700","0.0",",,7,0700","0.0",",,7,0700","5.0",",,7","-6.7",",,7","-5.6",",,7,0700",,,,,,
